rank,score,cat,dup,source,file,path,w,h,aspect,kb,bright,contrast,sat,sharp,d_render
52,5.52,C,SIMILAR,Flyers,468789904_10162040435820309_6541437996733752856_n.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\Flyers\New folder\468789904_10162040435820309_6541437996733752856_n.jpg,200,284,0.704,21,135.4,47.7,5261.1,42.5,
53,5.42,C,UNIQUE,Flyers,468871509_10162040435815309_2226904185834998769_n.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\Flyers\New folder\468871509_10162040435815309_2226904185834998769_n.jpg,490,720,0.681,68,199.9,52.4,4940.4,22.0,
54,5.41,C,UNIQUE,Events,468582267_10161951732365309_6071568775742224079_n.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\Events\468582267_10161951732365309_6071568775742224079_n.jpg,960,720,1.333,87,61.2,62.0,5656.5,10.5,
55,5.32,C,UNIQUE,Events,FB_IMG_1492575898573.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\Events\FB_IMG_1492575898573.jpg,960,640,1.5,78,51.4,62.4,5399.9,18.2,
56,5.3,C,UNIQUE,Events,Zion Club - Room 808 (Kuala Lumpur) 3.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\Events\Zion Club - Room 808 (Kuala Lumpur) 3.jpg,960,639,1.502,74,31.5,55.8,3938.6,14.5,
57,5.29,C,SIMILAR,EXTRA,597224865_10231898998513842_7725434957744926200_n.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\EXTRA\597224865_10231898998513842_7725434957744926200_n.jpg,720,670,1.075,91,95.5,59.8,4569.3,23.7,
58,5.27,C,SIMILAR,Flyers,54417777_10214449376324193_4943617588031651840_n.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\Flyers\New folder\54417777_10214449376324193_4943617588031651840_n.jpg,672,351,1.915,47,179.6,60.9,3174.0,34.2,
59,5.26,D,IN FRAGMENTS,Events,"Dragon Temple (DJ Lethal Skillz Music Video Shoot) South East Asia, Malaysia.jpg","C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\Events\Dragon Temple (DJ Lethal Skillz Music Video Shoot) South East Asia, Malaysia.jpg",960,639,1.502,106,122.0,60.8,3047.1,23.1,
60,5.23,C,SIMILAR,Events,Redbul 3style (Lebanon).jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\Events\Redbul 3style (Lebanon).jpg,1440,1440,1.0,221,123.0,63.8,5426.3,10.2,
61,5.19,C,UNIQUE,Flyers,466427020_10227736661698023_4596262800291937786_n.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\Flyers\New folder\466427020_10227736661698023_4596262800291937786_n.jpg,960,507,1.893,44,67.0,63.7,7032.1,15.0,
62,5.15,C,UNIQUE,EXTRA,Vibe Lebanon (Old Online Radio Station and DJ Workshop).jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\EXTRA\Vibe Lebanon (Old Online Radio Station and DJ Workshop).jpg,453,604,0.75,35,69.2,56.4,4319.0,11.3,
63,5.11,C,UNIQUE,EXTRA,508433372_10229894002230188_8557880953319925939_n.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\EXTRA\508433372_10229894002230188_8557880953319925939_n.jpg,720,480,1.5,44,109.0,60.9,3816.0,10.5,
64,5.01,C,SIMILAR,EXTRA,506862847_10229877987469829_7954230741820805738_n.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\EXTRA\506862847_10229877987469829_7954230741820805738_n.jpg,479,719,0.666,36,39.8,69.2,5672.1,11.9,
